Journal Title,MEDLINE Abbreviation,ISSN (Print),ISSN (Online),Country,Categories,Start Year,NLM ID
Nature aging.,Nat Aging,,2662-8465,United States,Geriatrics,2021,101773306
GeroScience.,Geroscience,2509-2715,2509-2723,Switzerland,Geriatrics,2017,101686284
Annals of geriatric medicine and research.,Ann Geriatr Med Res,2508-4798,2508-4909,Korea (South),Geriatrics,2016,101701105
European geriatric medicine.,Eur Geriatr Med,1878-7649,1878-7657,Switzerland,Geriatrics,2010,101533694
Aging and disease.,Aging Dis,,2152-5250,United States,Geriatrics,2010,101540533
Current aging science.,Curr Aging Sci,1874-6098,1874-6128,United Arab Emirates,Geriatrics,2008,101473576
Aging.,Aging (Albany NY),,1945-4589,United States,Geriatrics,2008,101508617
Clinical interventions in aging.,Clin Interv Aging,1176-9092,1178-1998,New Zealand,Geriatrics,2006,101273480
Ageing research reviews.,Ageing Res Rev,1568-1637,1872-9649,England,Geriatrics,2002,101128963
Aging clinical and experimental research.,Aging Clin Exp Res,1594-0667,1720-8319,Germany,Geriatrics,2002,101132995
BMC geriatrics.,BMC Geriatr,,1471-2318,England,Geriatrics,2001,100968548
Geriatrics & gerontology international.,Geriatr Gerontol Int,1444-1586,1447-0594,Japan,Geriatrics,2001,101135738
Biogerontology.,Biogerontology,1389-5729,1573-6768,Netherlands,Geriatrics,2000,100930043
The aging male : the official journal of the International Society for the Study of the Aging Male.,Aging Male,1368-5538,1473-0790,England,Geriatrics,1998,9808210
Australasian journal on ageing.,Australas J Ageing,1440-6381,1741-6612,Australia,Geriatrics,1998,9808874
"The journals of gerontology. Series A, Biological sciences and medical sciences.",J Gerontol A Biol Sci Med Sci,1079-5006,1758-535X,United States,Geriatrics,1995,9502837
Zeitschrift für Gerontologie und Geriatrie.,Z Gerontol Geriatr,0948-6704,1435-1269,Germany,Geriatrics,1995,9506215
Journal of aging and physical activity.,J Aging Phys Act,1063-8652,1543-267X,United States,Geriatrics,1993,9415639
Journal of aging and health.,J Aging Health,0898-2643,1552-6887,United States,Geriatrics,1989,8912686
Journal of elder abuse & neglect.,J Elder Abuse Negl,0894-6566,1540-4129,England,Geriatrics,1989,8914370
Journal of cross-cultural gerontology.,J Cross Cult Gerontol,0169-3816,1573-0719,Netherlands,Geriatrics,1986,8700909
Journal of aging studies.,J Aging Stud,0890-4065,1879-193X,England,Geriatrics,1987,8916517
Clinics in geriatric medicine.,Clin Geriatr Med,0749-0690,1879-8853,United States,Geriatrics,1985,8603766
Tijdschrift voor gerontologie en geriatrie.,Tijdschr Gerontol Geriatr,0167-9228,1875-6832,Netherlands,Geriatrics,1982,8210346
Archives of gerontology and geriatrics.,Arch Gerontol Geriatr,0167-4943,1872-6976,Netherlands,Geriatrics,1982,8214379
Clinical gerontologist.,Clin Gerontol,0731-7115,1545-2301,United States,Geriatrics,1982,8300869
Canadian journal on aging = La revue canadienne du vieillissement.,Can J Aging,0714-9808,1710-1107,Canada,Geriatrics,1982,8708560
Maturitas.,Maturitas,0378-5122,1873-4111,Ireland,Geriatrics,1978,7807333
Gerontology.,Gerontology,0304-324X,1423-0003,Switzerland,Geriatrics,1976,7601655
Experimental aging research.,Exp Aging Res,0361-073X,1096-4657,United States,Geriatrics,1975,7603335
Mechanisms of ageing and development.,Mech Ageing Dev,0047-6374,1872-6216,Ireland,Geriatrics,1972,0347227
International journal of aging & human development.,Int J Aging Hum Dev,0091-4150,1541-3535,United States,Geriatrics,1973,0370033
Age and ageing.,Age Ageing,0002-0729,1468-2834,England,Geriatrics,1972,0375655
Experimental gerontology.,Exp Gerontol,0531-5565,1873-6815,England,Geriatrics,1964,0047061
Nihon Ronen Igakkai zasshi. Japanese journal of geriatrics.,Nihon Ronen Igakkai Zasshi,0300-9173,,Japan,Geriatrics,1964,7507332
The Gerontologist.,Gerontologist,0016-9013,1758-5341,United States,Geriatrics,1961,0375327
Journal of the American Geriatrics Society.,J Am Geriatr Soc,0002-8614,1532-5415,United States,Geriatrics,1953,7503062
Advances in gerontology = Uspekhi gerontologii,Adv Gerontol,1561-9125,,Russia (Federation),Geriatrics,1900,100971443
JMIR aging.,JMIR Aging,,2561-7605,Canada,Geriatrics; Medical Informatics,2018,101740387
Journal of geriatric oncology.,J Geriatr Oncol,1879-4068,1879-4076,Netherlands,Geriatrics; Neoplasms,2010,101534770
Journal of Alzheimer's disease : JAD.,J Alzheimers Dis,1387-2877,1875-8908,United States,Geriatrics; Neurology,1998,9814863
Neurobiology of aging.,Neurobiol Aging,0197-4580,1558-1497,United States,Geriatrics; Neurology; Physiology,1980,8100437
Dementia and geriatric cognitive disorders.,Dement Geriatr Cogn Disord,1420-8008,1421-9824,Switzerland,Geriatrics; Neurology; Psychiatry,1997,9705200
Journal of geriatric psychiatry and neurology.,J Geriatr Psychiatry Neurol,0891-9887,1552-5708,United States,Geriatrics; Neurology; Psychiatry,1988,8805645
"Neuropsychology, development, and cognition. Section B, Aging, neuropsychology and cognition.",Neuropsychol Dev Cogn B Aging Neuropsychol Cogn,1382-5585,1744-4128,United States,Geriatrics; Neurology; Psychology,1996,9614434
Research in gerontological nursing.,Res Gerontol Nurs,1940-4921,1938-2464,United States,Geriatrics; Nursing,2008,101392499
International journal of older people nursing.,Int J Older People Nurs,1748-3735,1748-3743,England,Geriatrics; Nursing,2006,101267281
Nursing older people.,Nurs Older People,1472-0795,2047-8941,England,Geriatrics; Nursing,2000,101084156
Geriatric nursing.,Geriatr Nurs,0197-4572,1528-3984,United States,Geriatrics; Nursing,1980,8309633
Journal of gerontological nursing.,J Gerontol Nurs,0098-9134,,United States,Geriatrics; Nursing,1975,7510258
Journal of nutrition in gerontology and geriatrics.,J Nutr Gerontol Geriatr,2155-1197,2155-1200,United States,Geriatrics; Nutritional Sciences,2011,101558292
"The journal of nutrition, health & aging.",J Nutr Health Aging,1279-7707,1760-4788,France,Geriatrics; Nutritional Sciences,1997,100893366
The Senior care pharmacist.,Sr Care Pharm,2639-9636,2639-9644,United States,Geriatrics; Pharmacy,2019,101737969
Journal of geriatric physical therapy.,J Geriatr Phys Ther,1539-8412,2152-0895,United States,Geriatrics; Physical and Rehabilitation Medicine,2001,101142169
The Journal of frailty & aging.,J Frailty Aging,2260-1341,2273-4309,United States,Geriatrics; Physiology,2012,101604797
Rejuvenation research.,Rejuvenation Res,1549-1684,1557-8577,United States,Geriatrics; Physiology,2004,101213381
The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry.,Am J Geriatr Psychiatry,1064-7481,1545-7214,England,Geriatrics; Psychiatry,1993,9309609
International psychogeriatrics,Int Psychogeriatr,1041-6102,1741-203X,United States,Geriatrics; Psychiatry,1989,9007918
International journal of geriatric psychiatry.,Int J Geriatr Psychiatry,0885-6230,1099-1166,England,Geriatrics; Psychiatry,1986,8710629
Psychogeriatrics : the official journal of the Japanese Psychogeriatric Society.,Psychogeriatrics,1346-3500,1479-8301,England,Geriatrics; Psychology,2001,101230058
Aging & mental health.,Aging Ment Health,1360-7863,1364-6915,England,Geriatrics; Psychology,1997,9705773
Psychology and aging.,Psychol Aging,0882-7974,1939-1498,United States,Geriatrics; Psychology,1986,8904079
Research on aging.,Res Aging,0164-0275,1552-7573,United States,Geriatrics; Psychology,1979,7908221
"The journals of gerontology. Series B, Psychological sciences and social sciences.",J Gerontol B Psychol Sci Soc Sci,1079-5014,1758-5368,United States,Geriatrics; Psychology; Social Sciences,1995,9508483
The lancet. Healthy longevity.,Lancet Healthy Longev,,2666-7568,England,Geriatrics; Public Health,2020,101773309
Journal of aging & social policy.,J Aging Soc Policy,0895-9420,1545-0821,England,Geriatrics; Public Health,1989,8914669
Journal of gerontological social work.,J Gerontol Soc Work,0163-4372,1540-4048,United States,Geriatrics; Social Sciences,1978,7903311
Journal of women & aging.,J Women Aging,0895-2841,1540-7322,England,Geriatrics; Women's Health,1988,8916635
